Direction,Elevator,Floor,Layout,Region,Renovation,Size,age,Price
9,1,19,9,14,2,64.0,9,245.0
7,1,28,9,14,3,85.0,8,386.0
9,1,10,34,14,3,248.0,9,1180.0
9,0,6,16,14,3,108.0,18,430.0
7,1,28,9,14,3,85.0,8,359.0
9,0,6,9,14,2,90.0,17,375.0
9,0,6,9,14,3,90.0,18,350.0
9,0,6,9,14,2,90.0,18,360.0
3,1,13,9,14,2,109.0,16,429.0
9,0,6,16,14,3,106.0,19,260.0
9,0,6,17,14,2,115.0,19,395.0
9,0,6,9,14,2,68.0,31,260.0
9,0,6,9,14,3,90.0,17,360.0
9,0,6,16,14,2,127.0,26,460.0
9,2,6,9,14,2,84.0,11,285.0
9,2,6,9,14,2,79.0,24,290.0
7,0,6,1,14,0,48.0,12,189.0
9,0,6,9,14,2,63.0,16,280.0
3,1,9,9,14,2,92.0,11,350.0
9,0,6,9,14,3,81.0,18,295.0
11,0,6,16,14,3,98.0,21,410.0
7,1,21,9,14,2,60.0,9,240.0
9,0,6,9,14,2,61.0,31,222.0
9,2,6,9,14,1,53.0,41,188.0
9,1,20,2,14,1,81.0,5,320.0
7,1,21,9,14,3,92.0,6,390.0
3,1,6,16,14,3,117.0,7,550.0
3,1,11,9,14,3,77.0,16,316.0
7,0,6,10,14,3,58.0,32,280.0
7,2,16,9,14,2,83.0,13,360.0
9,2,6,9,14,3,98.0,14,413.0
9,0,6,16,14,2,95.0,26,340.0
9,2,6,9,14,0,86.0,11,303.0
9,2,11,25,14,3,144.0,9,720.0
9,0,6,9,14,3,88.0,18,336.0
0,1,24,2,14,3,80.0,18,320.0
9,0,6,9,14,3,90.0,11,310.0
9,0,6,9,14,2,82.0,22,305.0
9,2,4,9,14,2,88.0,18,290.0
9,0,6,16,14,2,91.0,21,350.0
9,2,6,9,14,3,88.0,11,310.0
9,2,7,2,14,2,68.0,17,240.0
3,2,7,9,14,0,75.0,27,290.0
9,0,6,16,14,0,93.0,21,370.0
9,0,6,9,14,2,77.0,18,190.0
9,0,6,9,14,2,80.0,21,318.0
3,2,7,9,14,0,99.0,17,380.0
7,0,6,10,14,2,73.0,22,270.0
9,2,6,9,14,3,98.0,18,380.0
2,1,24,17,14,3,168.0,18,550.0
9,1,24,17,14,2,119.0,8,560.0
10,1,14,9,14,3,93.0,15,390.0
7,1,24,9,14,3,83.0,8,384.0
9,1,28,16,14,1,89.0,8,430.0
